title,artist,id,uri,labels,distances
Gltchlfe (Kdrew Radio Edit),Taryn Manning,5IF16c5m61ofhwU0uAqCOF,spotify:track:5IF16c5m61ofhwU0uAqCOF,0,0.21083904413675006
Fade Away,Nasko,7kQFub7oUNikwLXPldA69U,spotify:track:7kQFub7oUNikwLXPldA69U,0,0.21711063385862317
Life Goes On,Akade,1GhPC6vSuridTr0j2lHfRz,spotify:track:1GhPC6vSuridTr0j2lHfRz,0,0.21827504544793705
Back Together,William Black,7MD5qMLhP1Xll1yACGFR2h,spotify:track:7MD5qMLhP1Xll1yACGFR2h,0,0.2326269349125386
Safe House,Dr Phunk,3u7417TclSj7K4zSqQjWmJ,spotify:track:3u7417TclSj7K4zSqQjWmJ,0,0.2427239800049829
Ever After,Abandoned,3HShwxnt0cHLHco1cC0NgP,spotify:track:3HShwxnt0cHLHco1cC0NgP,0,0.24457071803435104
Back In Time,Refuzion,3CcTzamEGKIwyBSZa4ahjX,spotify:track:3CcTzamEGKIwyBSZa4ahjX,0,0.2476798402408179
Just For A Moment (feat. Iselin),Gryffin,66U2Ud0RBGfQ0ZQrI2m8FC,spotify:track:66U2Ud0RBGfQ0ZQrI2m8FC,0,0.25175476845204553
Overrunning - Original Mix,KAAZE,2eVduxuNWfn2Ou75wPlYYj,spotify:track:2eVduxuNWfn2Ou75wPlYYj,0,0.2691102688798672
Better Apart (feat. Dresage),Jai Wolf,1TFC1wutiIHQQ9buf8bxQI,spotify:track:1TFC1wutiIHQQ9buf8bxQI,0,0.2697263450040489
Everybody Feels (feat. Zack Gray),ARMNHMR,1B1YBXBQwN0DCBLJTSMVMy,spotify:track:1B1YBXBQwN0DCBLJTSMVMy,0,0.2716071999078832
How Far I'll Go,Da Tweekaz,5vUVe1o9MvB6161zjXlMxc,spotify:track:5vUVe1o9MvB6161zjXlMxc,0,0.27413247642892763
Oceans & Galaxies,Jauz,5NQKpa6uCqZcaFkAbUK4XB,spotify:track:5NQKpa6uCqZcaFkAbUK4XB,0,0.2747414712349917
Home (feat. Niko Athanasatos) - Nurko Remix,MitiS,5GjwdLwp8RdfyoEodTfuQY,spotify:track:5GjwdLwp8RdfyoEodTfuQY,0,0.2808867563286578
Blood and Moonlight,Celestial Void,22PQ3q11bQCUoFdiHnXbRf,spotify:track:22PQ3q11bQCUoFdiHnXbRf,0,0.2885487525592339
Haven,William Black,6Xcqm2M79Y6DvFcmAO6UqJ,spotify:track:6Xcqm2M79Y6DvFcmAO6UqJ,0,0.29161359598456144
